,0
0,0.8308421940421827
1,0.7097707774822747
2,0.8204042742723026
3,0.47409719169823406
4,0.5805214384207831
5,0.050419519392147616
6,0.668614900842392
7,0.3950862438778461
8,0.05203986697162488
